text,label
semoga calon mentri pendidikan terketuk membantu ,2
layak malesan ,1
keep inspiring bless you ,2
orang ntt banget lele ntt ,2
anak ntt kepedulian gbu ,2
donasi uang ,1
nya kak ,1
semangat lele and ,2
logat lele orang flores ,2
waww manggarai semangat abng ,1
banget thankyouu ko leo ,2
sehat rezeki ,2
sehat iya semoga ,2
lele upload respect ,2
sharing this and ntt terbantu bless all ,1
semangat ,2
sih semangat belajarnya difasilitasi layak ayo bismillah ,2
ko ditunggu ,2
terima kasih lele daerah semoga orang orang tergerak membantu gbu leo orang2 ,2
leo terharu ,2
terima kasih semoga orang nonton membantu berdonasi berdonasi ,2
salam ntt ko leo ,1
ko leo orang orang tua banget ,2
ko leo ,2
donasi uangmu skip ,1
cinta deh ,2
terima kasih leoo sharingnya interior designer pingin leo butuh idediskusi pemenuhan utamanya disesuaikan dana ,2
ayo sisihkan uang bosan gbu ,2
terima kasih sumbangan adik leo ,2
i you this orang ,1
iya orang nya ,1
this this willbegone deh ,1
terima kasih saudara ,2
nyaa over so the you this over bagus ,2
iya deh fix ,1
indonesia anak2 maju ,2
astaga suara nya banget ,1
semoga konten viewers vidio membantu asrama disana ayo ,2
orang manggarai barat terima kasih kakak membantu memberkatimu ,2
respect you ,2
salam kenal subscriber ntt ,2
im so of you ,2
lele the ,2
bagus job banget lakukan belajar channel sehat iya ,2
iya ,2
trend trend trend trend ,1
semangaat ,2
keren terima kasih iya jaga ayo leo menambah amal tinggal cek nya leo ,2
terharu banget definisi membangun indonesia ,2
tetep jaga ,2
of you lele ,2
sehat ,2
orang2 baikk ,2
bikin kayak ,2
gunung ,1
banget lihat anak nya baikk of you kakak leo bless you ,2
semangat sehat yaa ,2
gbu lele ,2
lelee ,2
semoga sahabat disana iya note900 subscriber susah iya ,2
salam leste ,1
thank you leo respect kaya semoga ,2
semangat semoga uang donasi nya semoga ,2
semangat lele ,2
terima kasih warga ntt abang ,2
semangat koo ,2
sehat terharu ,2
so you semoga ,2
semangatt ,2
of you ,2
warga flores leo logat lokal lele ,2
sekolah sederhana belajar mencapai ayo uang membantu orang menambah amin iya semangat anak anak sekolah nusa tenggara timur indonesia ,2
ko semoga ko teman teman lakukan ,2
pok pok pokk pokk ,0
public bosan ko leo banget motivasi pelajaran hidup subscriber ko leo nya inggris langsung ko leo mengedukasi ko leo upload nya ko leo orang jadikan panutan pelajaran kadang banget pelajaran nya ko leo beruntung banget ko leo orang suka im so of terima kasih subscriber orang peduli susah banget ko doain berkah dimudahkan kegiatan lakukan ,2
terharuu lelee semoga sehat ,2
kali ,1
nonton kak leo kakak vlog kakak batu bertemu kak leo terima kasih vlog menginspirasi orang semoga kakak sekeluarga diberkati salam warga labuan ,2
terharu banget semoga anak2 disana belajar diberkati ,2
terharu belajar nonton vidio nya semangat belajarnya biar orang membantu orang perubahan masyarakat pendidikan pendidikan mencapai perubahan sih ,2
konten sehat ko sehat damianus murid2 disana ,2
banget belajar ,2
leo flores flores leo ,2
kenal leo ,2
keren ,1
semangat leo semoga ,2
leo ,2
belajar tinggal kota kota rumah layak semangat ,2
terima kasih ko semoga rezeki melimpah bless you ,2
semoga donasi biar bagus aamiin ,2
bravo leo donasi mencapai target ditutup keep doing bagus bless you ,2
leoo ,1
ko leo dimanapun daerah keren sih ,2
kak leo terima kasih banget ,2
sehat sehat orang ,2
leo semoga maha berkati ,2
respect lele ,2
terharu banget ,2
teman teman orang ntt jakarta kemarin sekolah asrama flores kayu rumah naja lihat masing2 anak asrama rumah uang asrama asrama naja rumah naja rumah tinggal anak sekolah rumah naja semangat belajar anak desa ,1
terima kasih iya kak teman banget tinggal disana semoga sehat iya kak ,2
konten ,1
setia ,1
leo bikin ,1
banget kakak leo nya terharu banget lihat semangat iya kakak leo jaga bless you ,2
memberkatimu damianus anak2 sekolah disana ,2
leonardo anak suka orang flores manggarai terima kasih manggarai barat berkati ,2
lele logat banget si ,2
upload ,2
of ko lele banget lihat ,2
terima kasih ,2
semangat damianus ,2
banget nge sm ,2
semangatt support kamuu ,2
flores mna kak ,1
sumpah weh belajar orang hidup tinggal rebahan malesan ngeluh jadikan kali lele ,2
iya orang kayak membantu nge leo kenal oh iya moga turah ,2
donasi target ,1
terharu kakakkakak disana semangat belajar belajar kakakkakak ko ,2
lele langsung iya tertawa ,1
terima kasih menggerakkan semoga amin ,2
konten kakak lele ,1
lele of ,2
calon mentri pendidikan semoga mensejahterakan pendidikan lele orang membantu mensejahterakan pendidikan ,2
difasilitasi pemerintah listrik tinggal belajar ,2
semoga yaa ,2
lele kabupaten manggarai ,1
leo banget lihat ,2
lele update iya banget lihat ,1
banget lihat ko semoga orang iya ko jesus bless ,2
banget ,2
sehat iya ,2
lele down to earth banget ,2
mantap leonardanak sosialisyoutuber peduli ,2
kak leo nya cocok reporter tv indonesia ,1
lele manggarai ,1
lele kayak pejabat kali bikin banget ngerasa nyaman sekolah ,2
lele upload ,1
im so of you kakak kakak pernh rasain hidup susah kakak kakak kak semoga kakak memperhatikn orng susah membutuhkan kakak jesus belss you kak ,2
berbuat to the orang project semoga nya bagus amin ,2
leo sih terharu banget deh ,2
keren gbu salam ntt ,1
ko leo sedih ,1
kak ,1
kakak leo ,2
fase fase semangat kakak manusia manusia ,2
nonton dana nya semoga dananya berguna kehidupan sekolah anak2 disitu kaya kaya donasi berguna nya ,2
disana asrama rumah anak asrama makan kadang makan ,2
lele lele orang iya ,1
lele ntt to lele you ,1
sehat ko leo ,1
suka konten kaya ,1
bagus banget ,1
amal lele ntt ,2
suara lele banget kaya nya ,1
kak leo deh logat timur kakak logat timur kali timur iya nya kakak kakak iya kakak iya to sekolah sekolah ,1
tim tertawa ,2
semangat kak and ,2
suka biar ,2
bless you lele ,2
ngerasa leo kayak ,1
ayo belajar bagus uangnya g ,2
hear leos voice shaking its trully his deepest ayo tmen rezeki donasi cek story ,2
leo mengunjungi labuan semoga sehat salam ,2
serius2 nonton ko lele pok pok ,1
semoga kakak leo ,2
salutt influencerinfluencer mengekspos flores menunjukan flores ,2
labuan saudara mengunjungi ntt semoga indonesia tercinta ,2
safe ,2
menginspirasi berkarya ,2
leo logat lokal ,2
donasi nya buatkan vlog ,2
ko deh tertawa ,2
sekolah orang belajar ,2
lele nya segitu daerah ,1
bagus idea leo ,2
denger ,1
ntt ,2
malam semoga bantuan membantu gbu ,2
nonton ,1
tim kmpul ,1
iya allah sekolah malesan semangat banget belajar ,2
lele sopan banget nya respect ,2
hidup ngeluh maunya maunya orang semangat moga ,2
berkunjung daerah semoga abang diberkati ,2
semangat kakak ,1
lele terharu banget kayak ,2
youtuber konten orang ,2
bikin iya ,2
aroma aroma ,1
mantaappoolaahh ,1
terima kasih kakak timur ,1
terima kasih lele manggarai ntt ,2
terima kasih iya ,2
banget sm lele ,2
to a ,2
nya bagus banget ,1
cep cep ,1
denger suara ny iya tertawa ,1
kak kesempatn main ambon kak ,1
suka bangett ,1
banget sih banget belajar terima kasih ,2
asrama desa ,2
bar bar banget ,1
bot ,1
asrama iya ,1
bagus job koo ,2
respect ,2
mantap ko leo ,1
respect kak leo ,1
bikin sekat ,2
guaa telatt ,1
tumben ,1
kak leo sederhana ,2
donasi kpop ulang gedemasa donasi sebangsa setanah ,2
kakak flores flores kakak ,2
cuma ,1
pround of you ,2
terharu bangett ,1
salam ,1
skip ,2
mantap anak asrama ,1
kak manggarai timur semoga kakak main ntt flores manggarai timur ,2
thank iya kakak leo ,1
dana buatkan orang nyaman anak2 lihat teman nyaman terima kasih ,2
salam manggarai ,1
semoga pemerintah daerah menonton ,2
uang donasi nya biar nyaman nya anak asrama semangat deh terharu deh semangat lele online nya ,2
ayo ,2
semoga sumbangan kasih ,2
wih leo ,2
lele bgtt ,2
tertawa ,1
mentri pendidikan ,2
w anak flores orang asrama modelan terima kasih ko menginformasikan lihat dikotaku sih tmn kelas smkku tinggal modelan iya asrama terima kasih ko membantu saudara ntt ,2
indonesia timur maju iya ,2
kompor minyak minyak banget ,1
flores kompor ,1
trmaksih berkunjung flores mnggarai barat ko letrmksiih ,1
anak2 ntt sekola anak2 sekola mencari asrama orang tua nya anak2 ntt sekola utuk ,2
salam floreslembata ko lele ,1
skip biar donasi ,1
perna ,2
donasi nya nya kasih setuju like ,2
kemarin gunung prau gagal ,1
terima kasih leo ,1
ko ,1
salam ntt lele ,1
you ,1
rumah ,1
deh uang banget saking nya tahan ,2
iya pookk pookk pookk nya ,1
tumben banget upload ,1
tumben banget ,1
salam ntt ,1
deh kali kak leo iya ,1
banget iya ,2
kak kak turah ,2
mantap lelee ,1
nya upload ,1
terharu ,2
terharu nonton ,2
lembor kak ko labuanbajo ,1
ayo donasi skip ,1
haii salam ntt gbu ,1
lele ntt ,1
lele keren ,2
saudara plosok flores ,1
mantapp ,2
lihat bapaknya kayak ,2
lele kerenn ,2
kak pergi ,1
ditutup biar banget semoga ikutan ,2
mohon kalsel ,2
leo youtuber ,2
to ntt kakak leo ,1
renov bngunan ost mhlkamar leo dbuat layakkayaknya kmr layak deh ,2
biar belajarnya ,2
lele iya ,1
galfok ,1
gunung kakak ,1
sayang leo ,2
mangrai barat ohh ,1
terlambat donasi iya ,1
alor lelee ,1
kangen leo ,2
suka lele youtuber iya ,2
ngemil ,1
keren anak anak ,2
tinggal flores ,1
lele orang nya ,1
lele waddaapp ,1
deh ,1
rumah kayu ,1
lihat ,1
ayo sisihkan uang mu berdonasi asrama damianus semangat tinggal ,2
kakak ,1
tinggal ntt ,1
ko leo kasih ,1
kakak pergi kakak ,1
pemerintah disana donasinya biar layak anak sekolah ,2
suka ,2
ayo skip ayo ,2
ntt flores ,1
lope sekebon ,2
bamng ilham ,1
terlambat nonton erwin iya erwin ,1
saos tiram ajinomo ,0
terlambat ,1
pikir anak ,1
p kayak ,1
temenya jeromy ,1
leelee ,1
oo ,1
si ,1
maaf ,1
asrama belajar desa tolong kasih yaa fasilitasi asrama maju pendidikan indonesia ,2
okey ,1
banget belajar desa ,2
bantuin sekolah desa kalsel desa kabupaten selatan provinsi kalsel bikin adek2 ,2
harapan ko ko hidayah ko ko ,0
ayo ayo ,2
terima kasih orang ,2
bless and saudara semoga orang ,2
sih ,1
semangat pendidikan pikirkan lakukan semangatt ,2
saudara lele ayo berkunjung daerah butuh bantuan ,2
ajak ko leo ,1
kakak leo esrama kabupaten sabu ntt kakak esrama sabu esrama butuh bantuan kakak ,2
the ,2
donasinya ,2
tercinta ,2
kak w ,1
lele im of youu keren banget ,2
semoga koko saluran anak anak berkati ,2
orang ko ,1
leo iya ,1
bikin tim gabung tertawa public pemberdayaan kali bantuan pemberdayaan masyarakatnya indonesia ,2
berkati ,2
iya gabung ,2
abang leo nya ,1
iya jesus ,1
makan warga banget ngerasa si makan ,2
makan bubur nya lele bubur ,1
wkwkwkwm iya ,1
suka konten safe healthy ,2
gbu leo ,2
gbu ,2
ruang niatan jadikan leo the ba ,1
zenius ,1
zenius woi ,1
enu enu enu ko pu kakak damianus orang ntt bertamu fix tamu leo bless you diberkati ,2
trimakasih asrama pendidikan manggaraiflores semoga leo membantu orang manggaraiflores leo membantu leo ,2
damianus kakak me leoo anggap anak disitu ,2
leo koko si kagok pamggil ,1
kangen langsung anak oo ,1
terharu bangett liatt damianus anakanak liatt lele thankyouu open ,2
leo terharuu makasii lele ,2
lele his ciri khas ,2
orang sok inggris ,1
nya astaga isinya belajar ,1
iya iya ,1
salam anak ntt leonardo generasi ,2
makasii lele banget makasii bangett lele makasii of you ,2
i the so great ,2
orang tua leo anak panutan mantap ,2
alhamdulillah menginspirasi orang orang ,2
alhamdulillah ,1
islam alhamdulillah ,1
alhamdulillah salam ,1
nonton leo semangat iya jaga safe ko leo ,2
belajar desa lele ,2
saae bagong ekhm ,0
pemerintah nya ,0
lele nonton lele banget orng semangat ,2
banget cerita kangen ,1
banget ko ,2
thank you so much this damianus project saudara ,2
a you inspiring me terima kasih doing this im so of you salah ,2
banget orang tua leo salah anak perubahan bless leo ,2
thank you ko leo ngerasa banget koko semoga pribadi ko leo aamiin ,2
humble cinta sayang orang tua sayang ,2
terima kasih leo saudara labuan orang manggarai kasih leo memberkati ,2
suka konten anak lele semoga lele diberkati orang ,2
thank you leo dananya tersalurkan semangat iya berbuat teman bantuan langsung ,2
negara butuh orang orang banget lele tolong bantuin doain lele sehat lele berkarya inspirasi terima kasih lele ,2
iya bagus job ,2
lele pamit damianus nya berkacakaca semoga time vlog flores iya banget damianus lele berkunjung ,2
indonesia butuh langsung membantu rakyat leo ,2
terima kasih donasi abang leo sehat semoga dilancarkan ,2
of lelee perantara lancar yaa semoga ,2
anak menginspirasi kepedulian keren leonardo ,2
banget anak menginspirasi sehat yaa leo ,2
terharu bangett lihat damianus anakanak asrama lele terima kasih iya donasi kayak bikin kangen ,2
this the of i to of as ,2
thank you koko kasih tim2 donasinya koko tim2 bless you all ,2
terima kasih orang pemerintah nya ,2
mantap boss ,1
makan uang ,1
im so of you tetep iya ,2
canda semangat moga ,1
lele cerita iya ,1
ko leoo semoga teman sanaa ,2
orang lele yesus berkati lele ,2
lele semoga pendidikan indonesia aamiin ,2
banget ko safe ,2
banget lele semoga iya ,2
so of ,2
banget leo iya ,2
yesus memberkati sllu lele usahamu ,2
terima kasih deh keep and a blessing iya ,2
diberkati leo flores bless leo damianus anak2 asrama flores sehat ,2
banget si ,1
terima kasih lele anak anak2 sehat iya ,2
lelee yaa of bless you ,2
banget pelajaran keep spirit ko leo ,2
ko leo semangat yaa upload ,2
lihat lele gunung suka mantap ,1
flores ,1
thank you so much lele andil salah pendidikan indonesia memberkati ,2
suka vlog kaya ,2
semangat bless ,2
huaa terharu ,1
lihat anak sosial saluran iya ,2
orang ,2
sm damianus ,2
koo leoo of you orang orang andil donasi terharu banget ,2
orang pikirkan ,2
of you lele bangett salah kamuu sehat2 ,2
kerenn leo leo orang orang orng berguna ,2
thank you jesus bless ,2
jesus bless you ,2
inspiring job keep spirit and healthy ,2
konten im so of you leo ,2
i respect ,2
keren banget sih keep doing bagus things iya ,2
leo sayang banget sopan beradaptasi bagus akhlaknya sumpah sihh ,2
damianus enu enu ,1
you leo ,2
keep spread vibes yaa le3 ,2
of gbu to a blessing ,2
koko menginspirasi anak kali koko semoga main ntt ,2
keren iya langsung baskom rumah nasi langsung baskom jugaa makan iya makan ,2
semangat yesus ,2
bagus job kak mencari orang susah orang orang ,2
halilintar konten nya komen konten nya komen v ,1
lele gais sekrang ,1
oh thank you leo ,2
banget lele teman perbaikan asrama ,2
makan pandemi ,1
kangen ,1
bless ,2
rt camat sih kayak ,1
banget lele diusia sehebat itueksplor donasi damianus lele menghargai orang lele temuin disana walapun kenal anak biar kayak lele baikk banget orang orang youtuber deh kedepan lulus kuliahnya banget belajar lele lele the ,2
upload iya kemarin memberkati ko ,2
iya lau ,1
semoga kak leo selatan kabupaten selatan provinsi nusa tenggara timur ntt ,2
keren banget menginspirasi ,2
semangat leo diberkati yesus ,2
inspirational ,2
of you ko ,2
jesus bless ,1
terharu lele banget terima kasih lele perantara tementemen uangnya amal sehat ,2
terima kasih koko manggarai koko jesus bless you ,2
terharu leo sumpah ,2
banget bapaknya semoga lulus hihi ,2
saking happynya mewek trimakasih orang2 anak2 kayak lele terimakasihnetizen ,2
lele of you ,2
thank you ,1
the moment yaa ,1
keren banget jesus bless ,2
of you kak leo bless you ,2
oh safe ko ,2
bagus bless you orang menginspirasi ,2
banget leo bless you ,2
semoga saudara disana anak kelak bagus banget ,2
ko leo semoga berkah ,2
lulus laginya iya tertawa ,2
terima kasih lele menginspirasi ,2
demage leo behh ngotak omongan berdua ,1
keren banget langsung masyarakatnya langsung ,2
makan kakak sehat2 yaa ,2
banget ko lele sehat orang kangen ,2
ko leoo makasi of you sehat yaa semoga koko ,2
bagus job gbu semoga berkatnya iya channel amin gbu ,2
keren banget lele langsung down to earth maaf nonton ,2
nyanyi sumpah orang ,2
semoga disana semangat belajarnya ,2
respect keren bless ,2
of youu ,2
semoga anak2 menginspirasi ,2
semangat kakak lele ,2
banget banget membantu orang ko leo kayak membantu membantu disana ,2
mantap ko leoo semoga ngalir ,2
lele iya terharu ,2
thank you and pround of you ,2
sehat leo anak ,2
orang orang lele menginspirasi ,2
sehat semoga rezeki ,2
bless lele ,2
nyanyi sabang merauke ,2
membumi iya menginspirasi ,2
aduh banget kakak leo nyubang bp damianus bp asrama nya semangat iya kakak semoga allah rezeki ,2
membutuhkan anak menginspirasi ,2
semangat kak leoo berkati ,2
semoga ,2
anak pendidikan ntt makasi leo ,2
semangat orang semoga orang ,2
makasi makasi ko ,2
teman orang injak dikejar pemilik nya ,1
abang donasi kayak ,1
membantu memberkati ,2
great things the ,2
lele humble sumpah ,2
haii ,1
sehatyaa ,2
yesus memberkati ,2
bangett bangett bangett ,2
mantap anak menginspirasi iya ,2
lele memberkati ,2
lihat kakak leo ,2
terima kasih lele semoga anak2 ntt ,2
orang orang ,2
vlog damianus ,2
trimakasih semangat yesus usahamu ,2
semoga kaya leo aamiin ,2
keren lele deh perhatian lingkungan leo semoga ,2
semoga kpn2 iya ledisana asrama renofasi ko leo ,2
lele so inspiring bismillah jodoh kayak lele ,2
inspiring leonardo ,2
semoga kakak vidio aamiin ,2
orang terharu banget lihat kaya indonesia semoga leo membantu pendidikan ,2
semoga leo membantu orang membutuhkan ,2
menginspirasi masyarakat timur daerah timur belajarnya memadai flores ntt orang flores terharu lakukan ,2
deh lele teman peduli pendidikan anak indonesia daerah ntt yesus memberkati kehidupan lele diberkati ,2
berkah iya banget sm ,2
berguna orang berguna orang ,2
i want to a of you broyour ,1
memberkati mu ,2
banget lele ,2
keren banget lele ,2
salutt bgtt leo ,2
semangat adik ,2
iya kegiatan ikutan ,2
sehat kak leo moga ,2
makasi leo menginspirasi ,2
lele banget safe yaa ,2
terima kasih orang bless ,2
of ,2
suka banget vlog ,2
bless you ko ko leo ,2
semoga nya ,2
lele sehatsehat iya menginspirasi orang ,2
bagus pemandangan nya pemandangan ,1
wih mantap nya ,2
viral mendidik semangat kak leo membantu inspirasi anak ,2
sykurlah ,1
semangat kak ,2
cantik cantik salam jawa ,1
kangen makan warga ,2
ntt selatan indonesia donasi ,2
orang banget kenal ko leo ,2
desa nya yaa flores tahunan semarang tamat rinduh aksen flores ,2
ko leo banget ko leo ,2
ajak ko leo biar ,1
lele keren banget keren ,2
bless you ,2
menginspirasi ,1
semangat semoga berkah semoga lancar salam rahayu rahayu rahayu salam ,2
duluaann ,1
jodoh leo mulia banget bangett ,2
makasi ko ,2
terima kasih iya manggarai asrama layak ,2
ditunggu ,2
great job leo ,2
lesemoga keberkahan melimpah lelekemandirian lele kesederhanaan bnr2 ,2
yesus memberkati ko leo orang amin ,2
mantapp ko leoo ,2
healthy saudara leo ,2
nge ,2
berisi merunduk pandai selalulah ,2
iya pikir tertawa ,1
gila sih ,1
lele makan ,2
salam anak flores ,2
so ,2
sekolah nagekeo labuan nagekeo bagus desa listrik ,2
terima kasih ardoudh membantu labuan gbu ,2
mantap kak leo ,2
langsung ,1
bless you orang ,2
dirumah deh gara2 konten nyawa bray pejabatorang kayamemang ganas virus nya gara2 varian delta ,2
lele v ,1
terima kasih banget bless you ,2
banget lihat vlog nya lele ,2
terima kasih berkunjung keflores smoga sgala karir pndikan lancar ,2
senyum senyum ,1
ko lele merch lele ,1
biaya pendidikan inggris ,1
anak2 ntt ,2
bagus job lele deh ,2
kak leo kak qania kak qania ,1
qania ,1
nyanyi sabang merauke kayak yaa ,2
kerenn ,2
leonardo ,2
upload tolong ,1
semangat bikin nya ,2
mantap salam manggarai ,2
hii terlambat dikit akun ,1
gila banget kamera ,1
beruntung banget kenal ko lele diberkati koo ,2
orang2 ntt ,1
keren banget bless you ko ,2
mentri pendidikan lele mentri ,2
waddap ,1
lele tertawa ,2
thank ,2
bagus ,1
lakukan kakak lele bagus pendidikan indonesia skip iya ,2
semangat kak leo jaga marah ,2
angkat berbuat inspirasi generasi anak ,2
mencari cowo kayak lele fix mencari cowo lele ,1
orang gabah tinggal gabah bertahan iya beli sedih ,1
semoga kaya deh biar sedekah sedekah sedekah orang kaya beda si maaf salah huaa ,1
lele beda ,1
covid ,2
mantap leo ,2
salah sih jadikan cita cita hidup kemari dimanapun keren banget lele butuh tim kemari biar angkat banget hidup kayak ,2
yesus berkati ko ,2
konten si konten prank prank ,1
sayang lele ,2
semoga kelak mentri pendidikan leo ,2
leo mentri pendidikan ,1
teman hidup kayak ,1
lele keren bgtt ,2
anak inspirasi anak anak ,2
mantap ko ,2
salutt banget kakak ,2
yaampun konten bagus banget lihat banget viewers nya ,2
iya giliran ,1
motor ,1
mantap bu risma semoga bikin data ganda korupsi lolos ,1
bu bansos sasaran ,2
bismillah smoga risma sehat aamiin ,2
kaya orang suka lempar jakarta ,1
maju tanggap sehat amin ,2
anies ketinggalanyg deh belanja online deh ,0
kemakmuran kaum negara ditentukan pemerintahannya besidelman kudanya besimotor akte kakak pns teman saudara masyarakat perihal berbulan bertahun uang langsung berhadapan membayar ditetapkan peraturan apbn diketahuin disegala lini aspek lembaga negara dpr partai ormas kementrian kejaksaan pengadilan bumn bumd camat lurah preman makelar jaro berkuasa korupsi ,1
iya daerah jawa barat bikin uang desa kelurahan langsung ,1
i ,1
sosial pemerintah provinsi dki jakarta update data ,1
alur sih pemerintah daerah data penduduknya dicocokin mencocokan data data penduduk sebelumnyaklo kesalahan data dllkementerian pemerintah daerah perbaikan ,1
setuju simple dki mensos slng perbaikan orang bmyk abang warga dki bnr2 pandemi salah sasaran ,1
iya pemerintah provinsi sosial ,1
rt lurah pemerintah daerah ,1
sosialnya mblegedes uang nglentem alias anteng iya iya ,1
pikir kemensos sosial pusat daerah kota datanya sosial pikir nya ,1
nya anies nya data kemensos nya amburadul lyak lyak biar dki anggap slah slah nya kemensos ,1
sosial kota ajaprovinsikrn pemdakalau kementrian soalbaru indonesiagituu ,1
sehat bu risma ,2
tolong risma masyarakat bantuan mohon kelurahan menempelkan orang2 bantuan dipapan pengumuman ,2
bismillah online indonesia inggris inggris ,2
covid inggris saudara semoga ,2
driver online time teman berkali2 pejabatnya update data penerima beresz kelar gajian lancar ,1
pemerintah daerah ,2
pemerintah pusat suka ngeprank ,0
piye sih bu risma data dki anies pemerintah provinsi dki dinsos jakarta bu risma ,1
pejabat daerah nya iya pejabatnya data beres iya deh bantuan pemerintah deh data ganda sasaran ,1
hubungane karo data ganda dikit dikit ngeprank awakmu data ganda daerah ,1
komen anak data dki beres salah pusat anak salah salah ,1
ganda q g bansos iya ,1
data ganda semangat bu risma ,2
bu risma pancen yescalgub cawapres pantesnya ,2
b risma nya allah swt m pjbat ngaca ngaca pjbat ,2
data ganda dki ,1
bu risma ,2
terima nya kelurahan jatinegara jaktim terima ,0
iya gorong2 ,0
beres sikat bu sehat bu ,2
bagus bu risma ,2
semangat indonesia ,2
data ganda terindikasi korupsi dki penduduknya orang ,0
ngurusin ,0
anies ,1
belut nyemplung oli banget deh ,1
belut nyemplung oli mati ,1
kabupaten desa jawa barat data ppkm ,1
mantap bu risma tertawa ,2
orang tua allah ,1
perbaikan datanya dki macan ragunan ,0
terkenal pencitraan ,0
jakarta wakilnya bela wakilnya cocok ,0
ragunan penduduk dki ,0
macan nya covid ,0
maaf macan covid ,0
sindiran media biar nonton ,1
media ,0
media tv iya ,0
bansos daerah kemensos verifikasi kemensos bank ,1
bansos datanya ganda ganda data ganda bansos ,0
dimas salah bansos bansos dki datanya mensos cocok data ,0
dimas muter nya biar ,0
bu risma jempol bagus job ,2
sehat sllu ,2
mentri sosial orang orang orang bu ,0
risma kesalahan dilempar bu risma bu risma orang ,1
iya bu risma menteri sosial ,1
deh lihat bu risma iya mentri gubernur deh ,1
komen ,0
men skak badut ,1
yes mantap bu ,2
smoga indonesia pulih ,2
bansos nya jalan bansos sasaran ,2
jakarta kota maju kota indonesia nya perbaikan data nya anis ,0
maju toilet ,0
tinggal masi ,0
maju seiman ,1
gubernur spesialis deh sial rakyat dki seiman ,0
otaknya formula e ,0
maling partai petugas partai sopan ,0
maling persen formula e banget ,0
banget maling bansos deh partai ,0
drun ,1
bahas bahas kebiasaan tuman ,1
laporkan langsung pemerintah pusat dki bantuan ,1
w orang dki ,1
data ,1
bansos orang rt ,1
semoga bantuan tersalurkan iya ,2
dki rumah mobil bansos ,0
dana bansos ,0
bank bu ,0
bank bumn ,1
bank nya bank dki bumn ,1
korupsi bank butuh ,1
media i masyarakat semoga pulih ,2
data dki ,0
gubernur nya ,0
mentri ,2
rakyat makan rakyat korupsi ,2
bu risma ragunan ,1
bu risma masyarakatnya masyarakatnya ,1
langsung komen diig twiter menteri komen diyoutube ,1
dki indonesia ,2
otonomi daerah daerah sefrekuensi pusat mis daerah partai pengusung pertanyaanya daerah menggunakanya politiknya mengikuti pusat ,0
daerah data pegawai data daerah tinggal data beres deh ,0
mengisi datanya utamakan sanak sih berkali2 biarlah iya ,1
setuju kak ,1
data ganda ,1
